"Organization","DynCount","FuncCount","DecCount"
ArcasProject,"1","4","25"
archangelic,"1","5","1"
archesproject,"24","25","23"
archever,"4","43","22"
ArchipelProject,"0","3","9"
architecture-building-systems,"17","406","129"
architv,"0","22","6"
ArchiveLabs,"4","12","30"
ArchiveTeam,"2","30","12"
archlinux,"31","205","129"
archshift,"0","6","5"
arcpy,"2","9","1"
ArcticaProject,"0","10","4"
ArcticCore,"0","6","2"
Arctice,"1","37","1"
arcticfoxnv,"36","12","22"
ArcticWarriors,"7","23","3"
arcward,"0","16","9"
arcyfelix,"0","32","15"
ardiloot,"4","20","2"
arduino-org,"6","3","1"
ArduPilot,"26","28","20"
ardydedase,"2","3","2"
arecarn,"1","7","5"
arecker,"7","9","7"
areebbeigh,"0","6","2"
Arelle,"104","78","26"
Arello-Mobile,"9","20","59"
arenadata,"62","134","108"
areski,"14","35","5"
argaen,"12","34","30"
arguslab,"0","1","40"
arianhosseini,"0","36","4"
arianpasquali,"0","11","5"
ariddell,"0","75","24"
arieb,"2","5","8"
ariebovenberg,"22","44","52"
arienchen,"0","4","54"
arijeetmkh,"5","1","3"
ArionMiles,"0","21","14"
arista-eosplus,"3","10","6"
arizvisa,"14","202","18"
arjo129,"0","5","2"
ArkaneMoose,"0","19","12"
arkanister,"20","13","4"
arkottke,"3","35","42"
arktools,"1","3","13"
Arlen0615,"0","2","4"
arlowhite,"0","6","1"
ARM-software,"105","435","299"
armadito,"2","7","1"
ArmandSyah,"0","12","14"
armink,"0","26","8"
ArmlessJohn404,"0","6","16"
ARMmbed,"24","37","45"
armon,"9","21","13"
Armored-Dragon,"7","122","1"
Armour,"0","2","3"
ArnaudCalmettes,"1","4","1"
ArnaudPel,"0","38","3"
arnaudsj,"11","2","6"
arne-cl,"14","61","16"
arneb,"31","10","14"
arnehilmann,"3","6","2"
ArnesSI,"12","3","10"
arnomoonens,"0","64","18"
aroberge,"2","7","1"
arokem,"0","16","19"
aromanovich,"6","51","16"
