"Organization","DynCount","FuncCount","DecCount"
aptana,"86","16","1"
aptible,"1","6","0"
aptivate,"25","81","15"
apuapaquola,"1","12","1"
Aquafina-water-bottle,"8","25","19"
aquametalabs,"5","8","4"
aquavitae,"10","35","12"
ar0551,"1","5","3"
ar4k,"2","12","15"
ArabellaTech,"106","28","34"
Arabidopsis-Information-Portal,"7","23","3"
araddon,"4","3","1"
aragos,"143","132","140"
araichev,"16","29","4"
araile,"8","31","2"
araisrobo,"2","11","0"
araith,"10","19","2"
arakashic,"6","5","8"
aranchelk,"1","28","16"
aranega,"16","19","35"
arangodb,"8","71","52"
arasdar,"5","39","4"
aravenel,"26","5","0"
arbylee,"6","15","33"
arcade-lab,"1","10","38"
ArcaniteSolutions,"53","68","83"
ArcasProject,"1","4","25"
archangelic,"1","5","1"
archesproject,"24","25","23"
architecture-building-systems,"17","405","129"
ArchiveLabs,"15","21","38"
ArchiveTeam,"2","30","12"
archlinux,"31","205","129"
ArchStrike,"1","5","0"
arcpy,"2","9","1"
arctic-nmt,"1","3","0"
Arctice,"1","37","1"
arcticfoxnv,"36","12","22"
ArcticWarriors,"7","23","3"
ardiloot,"4","20","2"
arduino-org,"6","3","1"
ArduPilot,"26","28","20"
ardydedase,"2","3","2"
arecarn,"1","7","5"
arecker,"7","9","7"
Arelle,"104","78","26"
Arello-Mobile,"9","20","59"
arenadata,"69","158","108"
areski,"14","35","5"
argaen,"12","34","30"
argos-research,"2","3","0"
arguelles,"1","4","0"
arguman,"6","12","3"
arieb,"2","5","8"
ariebovenberg,"22","44","52"
arijeetmkh,"5","1","3"
ariovistus,"5","4","0"
arista-eosplus,"3","10","6"
arizvisa,"14","202","18"
arkanister,"20","13","4"
arkottke,"3","35","42"
arktools,"1","3","13"
ARL-UTEP-OC,"2","2","0"
ARM-software,"105","435","299"
armadito,"2","7","1"
armbues,"2","2","0"
ArmisSecurity,"1","12","0"
ARMmbed,"41","104","110"
armon,"9","21","13"
Armored-Dragon,"4","79","1"
arn7av,"1","3","0"
ArnaudCalmettes,"1","4","1"
arnaudsj,"11","2","6"
arne-cl,"14","61","16"
arneb,"31","10","14"
arnehilmann,"3","6","2"
ArnesSI,"12","3","10"
aroberge,"2","7","1"
aromanovich,"6","51","16"
aron-bordin,"5","3","12"
arongdari,"2","21","0"
ARPA-SIMC,"2","11","2"
arpruss,"4","92","6"
arq5x,"8","109","6"
array-split,"12","3","0"
arrayfire,"2","2","1"
arraystream,"2","3","6"
arrti,"2","16","14"
arruda,"7","28","63"
ars-ashuha,"6","14","2"
Arsey,"1","3","6"
arsham,"17","3","2"
arskom,"70","164","118"
ARTbio,"1","61","1"
artefactual,"18","52","11"
artefactual-labs,"3","7","3"
artemistomaras,"4","2","8"
arteria,"54","27","25"
arteria-project,"3","5","2"
ARTFL-Project,"6","147","0"
arthepsy,"4","34","5"
ArthurChiao,"4","5","2"
arthurdejong,"40","95","26"
arthurk,"7","6","0"
arthurmensch,"11","84","11"
ArtificialQualia,"2","33","0"
artificilabs,"6","6","7"
artisan-roaster-scope,"5","13","0"
artomason,"3","9","0"
ArtPoon,"2","23","1"
artreven,"1","8","5"
Arttii,"1","6","0"
artzers,"1","12","0"
Arubacloud,"2","1","10"
arunchaganty,"8","100","15"
ARUP-NGS,"2","10","0"
arupiot,"9","10","0"
aruseni,"3","2","5"
arve0,"4","2","0"
arxanas,"8","6","10"
arxiv-vanity,"3","14","27"
arxsys,"2","1","0"
Asana,"2","3","3"
asarnow,"3","41","0"
asascience-open,"1","7","3"
aschampion,"4","26","1"
aschleg,"15","1","14"
aschn,"10","13","7"
asciidisco,"2","1","41"
asciimoo,"46","28","1"
asciinema,"1","23","12"
ASCIT,"7","46","1"
ascoderu,"8","54","126"
asecurityteam,"1","2","0"
aselle,"95","263","84"
asfaltboy,"7","1","2"
asfin,"27","107","53"
ashcrow,"1","20","0"
ashemery,"2","11","0"
asher,"1","13","0"
asherAgs,"12","33","0"
ashishb,"1","1","2"
AshishBora,"1","32","0"
ashleysommer,"3","11","2"
ashleywaite,"40","48","22"
asif-mahmud,"3","2","4"
asifpy,"15","11","17"
ask,"103","286","290"
askomics,"2","13","13"
aslotnick,"1","3","0"
asmeurer,"1","3","2"
ASMlover,"41","139","14"
asmodehn,"30","17","42"
asottile,"6","30","19"
aspc,"7","28","25"
asphalt-framework,"10","48","45"
aspiers,"3","14","22"
assafnativ,"6","39","40"
assamite,"13","28","47"
associatedpress,"4","13","0"
Astalaseven,"1","5","1"
asterisk,"12","67","31"
asterix135,"2","5","1"
astooke,"3","38","8"
astorfi,"17","6","3"
astra-toolbox,"6","1","0"
astraknots,"2","2","0"
astrand,"4","8","0"
astraw,"12","1","0"
astraw38,"1","2","0"
astrikov-d,"22","6","49"
astro,"2","5","3"
astrobin,"15","48","18"
astroChasqui,"10","11","0"
astrodsg,"5","7","0"
astrofrog,"7","21","50"
astroML,"29","98","19"
astronomeralex,"5","1","0"
AstroPrint,"18","53","170"
astropy,"272","358","456"
astrosat,"1","2","0"
AstroTech,"12","35","38"
astrotuvi,"8","5","0"
Astroua,"13","22","21"
astroufsc,"29","11","93"
AstroVPK,"1","6","0"
AstunTechnology,"1","1","0"
Astyan-42,"2","18","15"
astyonax,"4","1","0"
Asvel,"2","1","0"
asweigart,"3","11","2"
aswinkp,"27","2","0"
asyncee,"4","1","0"
at3560k,"11","21","21"
atalax,"3","9","17"
atareao,"3","23","0"
