"Organization","DynCount","FuncCount","DecCount"
kettroni,"0","2","6"
kevin218,"68","53","7"
kevinfjiang,"9","10","16"
kevinheavey,"0","47","40"
kewablay,"0","2","4"
keyu-tian,"6","39","3"
khan-asfi-reza,"0","2","8"
kheybar,"0","0","16"
khiner,"1","50","23"
khoivan88,"0","24","4"
Kicshikxo,"0","0","7"
killer415tv,"3","41","6"
kingraphaii,"1","7","3"
Kinto,"48","177","163"
KiralyTamas,"0","24","45"
kiriharu,"1","0","4"
kiselas,"0","2","2"
KitDaCatsun,"6","13","10"
kittsville,"0","2","6"
kittydepa,"624","982","717"
kivy,"50","95","87"
kjaffel,"28","480","9"
kjjose00,"0","0","3"
KKKSQJ,"28","119","24"
kkristof200,"0","18","8"
kkroening,"1","29","18"
klgentle,"0","35","4"
klmcwhirter,"0","58","3"
klomery,"3","113","3"
knight2217,"1529","1697","1476"
knights-who-say-c,"0","2","5"
Kollbii,"0","7","13"
kollerlukas,"0","15","6"
KovalovV,"2","7","6"
kovidgoyal,"2432","4111","1506"
Kozea,"64","196","48"
krentzd,"14","72","71"
kreyoo,"4","3","14"
krhubbard2,"0","0","1"
krishnaglodha,"625","966","693"
krompert,"0","20","1"
kronusdev,"1","153","323"
krzysztof-grzegrzulka,"621","1073","734"
ktbyers,"7","29","26"
Kuba-Wroblewski,"0","0","1"
kubeflow,"232","257","291"
kubernetes-client,"2551","1278","2738"
kukiamarilla,"0","0","15"
kusgent,"0","5","2"
kwlee0220,"1","38","78"
KyperCT,"0","1","1"
kz26,"12","13","46"
lablup,"11","111","311"
Lainshower,"585","905","701"
lalrochhara,"40","42","243"
lamiaah,"7","50","1"
lancopku,"1","4","6"
lanpa,"17","78","39"
lar-mo,"0","0","3"
larajorge11,"0","0","2"
laramies,"0","76","41"
lars-frogner,"1","41","1"
Lasagne,"47","136","2"
latticesurgery-com,"2","35","34"
LaVita-GmbH,"32","23","17"
layday,"5","148","76"
lazyprogrammer,"2","365","13"
lbryio,"72","716","780"
lcls-psana,"13","108","17"
learningequality,"239","496","347"
LEGEND-LX,"6","72","13"
Leif753,"0","2","4"
LeighCurran,"0","0","5"
Leo-Flores,"0","0","3"
LeoCx1000,"15","49","2"
LetTheWorldGoos,"0","1","2"
lexicalunit,"47","88","81"
lexuansanh,"7","33","8"
lexyh,"0","1","4"
lhotse-speech,"3","398","227"
lhuaynalaya,"0","1","4"
Lihsayuri,"246","143","118"
LimeOnTop,"197","174","63"
Linhatran,"3259","8064","4028"
linz,"1","3","7"
Linzaer,"10","55","5"
liqd,"98","94","165"
lisa-606,"7","14","74"
lisa-lab,"0","88","1"
liskin,"2","20","19"
litex-hub,"9","22","1"
LittleVaaty,"0","0","1"
lngsv,"0","5","4"
localstack,"113","538","354"
log2timeline,"324","184","284"
loganbvh,"7","54","23"
Lonero-Team,"22","194","205"
longld,"23","8","15"
losjeu,"3","113","3"
Loupehope,"0","0","3"
lsst-sqre,"0","3","2"
lucabaldini,"0","0","5"
lucasfbn,"0","5","1"
lucidrains,"2","40","3"
Lucky3337,"2","3","1"
ludeeus,"0","2","12"
ludwig-ai,"25","405","597"
LuisAlvarez123,"323","290","279"
luisxgarcia,"10","19","214"
luizribeiro,"0","8","3"
lukemelas,"1","19","10"
lukka12,"0","0","5"
luku756,"133","80","22"
lululxvi,"13","137","44"
Luos-io,"2","10","78"
Lupercio421,"1886","3091","2226"
lutris,"40","196","290"
luxonis,"14","57","12"
lxuanhui,"1484","2012","1306"
ly4k,"0","16","19"
lyst,"1","28","1"
lzacchi,"0","0","1"
m-fidalgo,"1","0","8"
M0nster92,"805","910","1004"
m485liuw,"929","5365","1791"
macielf1994,"346","278","309"
madchick,"0","2","10"
madmaze,"1","20","4"
maekke,"1","0","2"
MaiHon,"15","40","1"
mailpile,"81","854","122"
malwaredllc,"178","194","26"
manhhv87,"0","28","1"
ManimCommunity,"139","560","240"
ManimEditorProject,"2","4","1"
manuel3265,"0","12","41"
manuelcortez,"230","53","7"
Map9646,"0","0","2038"
MarcAntoineAlex,"1","32","2"
marcua,"0","18","8"
mariadb-corporation,"1","0","3"
markctm,"1","6","5"
MarketSquare,"4","36","46"
marksun2020,"1292","1915","1750"
marshmallow-code,"48","137","50"
marzique,"0","0","7"
MatAfan,"622","1067","796"
matchpointer,"2","155","40"
matfarb,"0","0","4"
MathesFGremes,"0","52","1"
maticardenas,"0","2","8"
matieo33,"769","1203","849"
matrix-org,"136","1330","527"
matthewivezaj73,"1696","1848","1509"
MatthiasValvekens,"23","56","29"
Maua-Dev,"0","23","29"
