"Organization","DynCount","FuncCount","DecCount"
nimadorostkar,"2033","2458","2042"
nitbharambe,"3","51","10"
NJSim,"1","1","4"
NLAnalytics,"3","46","44"
NLP-Suite,"2","493","11"
nodejs,"29","223","2"
normen,"3","33","3"
noseglasses,"25","30","14"
nostrumbiodiscovery,"11","183","52"
NotLatif,"1","0","1"
nov5112021,"509","936","684"
NOVA-IX,"621","1067","796"
novakov-alexey,"1","19","7"
novareto,"1","0","3"
nrser,"20","39","27"
nublado-language-exchange,"1","5","5"
Nuitka,"572","1655","1329"
numba,"597","1940","2426"
numenta,"93","301","171"
numpy,"569","1894","227"
nvbn,"14","136","191"
NVIDIA,"189","443","132"
NVlabs,"43","278","69"
NYU-DevOps-Inventory,"1","6","15"
oarriaga,"1","7","0"
OctoPrint,"174","614","390"
ocvcoin,"16","59","11"
odstrcilt,"47","175","0"
OdysseyJ,"1","0","0"
oe-alliance,"137","641","99"
Ogabek1510,"4","1","2"
OGGM,"17","30","30"
OlegGlo,"74","88","60"
OmarShamkh,"29","93","0"
omfsakib,"143","107","57"
onionshare,"9","48","21"
onnx,"223","409","55"
ONSdigital,"1","6","1"
open-contracting,"37","264","88"
open-mmlab,"85","243","56"
openai,"83","704","144"
OpenConceptLab,"30","86","297"
opencybersecurityalliance,"28","60","203"
openergy,"6","112","35"
OpenMDAO,"6","220","157"
OpenMined,"305","290","667"
OpenPLi,"53","130","71"
openrazer,"95","53","99"
OpenRobot-Packages,"1","9","2"
openshift,"18","189","195"
OpenShot,"39","78","6"
openstack,"4","44","149"
openSUSE,"20","81","39"
openZH,"3","9","5"
opnfv,"26","60","78"
oppia,"93","1383","1330"
optuna,"64","781","256"
oscarpimentel,"10","48","2"
osmr,"961","1908","158"
OttoAndrey,"1","3","0"
otvernites,"16","2","2"
OUCMachineLearning,"18","62","3"
Ouranosinc,"63","126","135"
oVirt,"267","1180","1900"
owengaming001,"1","7","0"
ox-it,"10","53","43"
P403n1x87,"23","8","15"
PaddlePaddle,"506","2674","1146"
